"Variable","Valor_normalizado"
"REPITENCIA_TRANSICIÓN",0.604081632653061
"REPITENCIA_PRIMARIA",0.51307847082495
"REPITENCIA_SECUNDARIA",0.62278839348903
"REPITENCIA_MEDIA",0.0958646616541353
"POBLACIÓN_5_16",0.026619692627638
"TASA_MATRICULACIÓN_5_16",0.131002689204764
"COBERTURA_NETA",0.0655613020991786
"COBERTURA_NETA_TRANSICIÓN",0.532297297297297
"COBERTURA_NETA_PRIMARIA",0.120992761116856
"COBERTURA_NETA_SECUNDARIA",0.135050422458435
"COBERTURA_NETA_MEDIA",0.381237233732127
"COBERTURA_BRUTA",0.0547740570148139
"COBERTURA_BRUTA_TRANSICIÓN",0.412117576484703
"COBERTURA_BRUTA_PRIMARIA",0.0821409644939056
"COBERTURA_BRUTA_SECUNDARIA",0.0811747909443198
"COBERTURA_BRUTA_MEDIA",0.26510067114094
"DESERCIÓN",0.377858002406739
"DESERCIÓN_TRANSICIÓN",0
"DESERCIÓN_PRIMARIA",0.334757834757835
"DESERCIÓN_SECUNDARIA",0.543133802816901
"DESERCIÓN_MEDIA",0
"APROBACIÓN",0.460491889063318
"APROBACIÓN_PRIMARIA",0.439547349612865
"APROBACIÓN_SECUNDARIA",0.509440211990725
"APROBACIÓN_MEDIA",0.567671232876713
"REPROBACIÓN",0.476728723404255
"REPROBACIÓN_PRIMARIA",0.558102766798419
"REPROBACIÓN_SECUNDARIA",0.361355081555834
"REPROBACIÓN_MEDIA",0.6312
"REPITENCIA",0.356504468718967
"REPITENCIA_TRANSICIÓN",0
"REPITENCIA_PRIMARIA",0.473843058350101
"REPITENCIA_SECUNDARIA",0.349610757254069
"REPITENCIA_MEDIA",0
"POBLACIÓN_5_16",0.0371107040788981
"TASA_MATRICULACIÓN_5_16",0.306185170956589
"COBERTURA_NETA",0.273653787648312
"COBERTURA_NETA_TRANSICIÓN",0.461486486486486
"COBERTURA_NETA_PRIMARIA",0.32131777219678
"COBERTURA_NETA_SECUNDARIA",0.499454892341237
"COBERTURA_NETA_MEDIA",0.626641377297928
"COBERTURA_BRUTA",0.210880119507034
"COBERTURA_BRUTA_TRANSICIÓN",0.366426714657069
"COBERTURA_BRUTA_PRIMARIA",0.191732909379968
"COBERTURA_BRUTA_SECUNDARIA",0.289618600856618
"COBERTURA_BRUTA_MEDIA",0.327229146692234
"DESERCIÓN",0.383874849578821
"DESERCIÓN_TRANSICIÓN",0.349789915966387
"DESERCIÓN_PRIMARIA",0.36039886039886
"DESERCIÓN_SECUNDARIA",0.440140845070423
"DESERCIÓN_MEDIA",0
"APROBACIÓN",0.624280481423338
"APROBACIÓN_PRIMARIA",0.811792733770102
"APROBACIÓN_SECUNDARIA",0.597880092745942
"APROBACIÓN_MEDIA",0.543561643835617
"REPROBACIÓN",0.265292553191489
"REPROBACIÓN_PRIMARIA",0.049802371541502
"REPROBACIÓN_SECUNDARIA",0.29861982434128
"REPROBACIÓN_MEDIA",0.6664
"REPITENCIA",0.264150943396226
"REPITENCIA_TRANSICIÓN",0
"REPITENCIA_PRIMARIA",0.191146881287726
"REPITENCIA_SECUNDARIA",0.303609341825902
"REPITENCIA_MEDIA",0.390977443609023
"POBLACIÓN_5_16",0.594347557217941
"TASA_MATRICULACIÓN_5_16",0.344602381867077
"COBERTURA_NETA",0.3192881046547
"COBERTURA_NETA_TRANSICIÓN",0.490135135135135
"COBERTURA_NETA_PRIMARIA",0.371989954202984
"COBERTURA_NETA_SECUNDARIA",0.381302807304443
"COBERTURA_NETA_MEDIA",0.618908666472133
"COBERTURA_BRUTA",0.326154612224574
"COBERTURA_BRUTA_TRANSICIÓN",0.405218956208758
"COBERTURA_BRUTA_PRIMARIA",0.314679385267621
"COBERTURA_BRUTA_SECUNDARIA",0.272384254538038
"COBERTURA_BRUTA_MEDIA",0.601246404602109
"DESERCIÓN",0.49338146811071
"DESERCIÓN_TRANSICIÓN",0.272058823529412
"DESERCIÓN_PRIMARIA",0.48005698005698
"DESERCIÓN_SECUNDARIA",0.491197183098592
"DESERCIÓN_MEDIA",0.43905325443787
"APROBACIÓN",0.628466771323914
"APROBACIÓN_PRIMARIA",0.692078618225134
"APROBACIÓN_SECUNDARIA",0.626697581980789
"APROBACIÓN_MEDIA",0.679452054794521
"REPROBACIÓN",0.199468085106383
"REPROBACIÓN_PRIMARIA",0.141501976284585
"REPROBACIÓN_SECUNDARIA",0.23797574236721
"REPROBACIÓN_MEDIA",0.1712
"REPITENCIA",0.571002979145978
"REPITENCIA_TRANSICIÓN",0.575510204081633
"REPITENCIA_PRIMARIA",0.391348088531187
"REPITENCIA_SECUNDARIA",0.758669497523001
"REPITENCIA_MEDIA",0.486842105263158
"POBLACIÓN_5_16",0.0967025038190493
"TASA_MATRICULACIÓN_5_16",0.255602509924446
"COBERTURA_NETA",0.2135686035899
"COBERTURA_NETA_TRANSICIÓN",0.502567567567567
"COBERTURA_NETA_PRIMARIA",0.239917269906929
"COBERTURA_NETA_SECUNDARIA",0.301035704551649
"COBERTURA_NETA_MEDIA",0.508170411438576
"COBERTURA_BRUTA",0.204780281339475
"COBERTURA_BRUTA_TRANSICIÓN",0.349330133973205
"COBERTURA_BRUTA_PRIMARIA",0.210492845786963
"COBERTURA_BRUTA_SECUNDARIA",0.243014480930043
"COBERTURA_BRUTA_MEDIA",0.358197507190796
"DESERCIÓN",0.560770156438026
"DESERCIÓN_TRANSICIÓN",0.138655462184874
"DESERCIÓN_PRIMARIA",0.487179487179487
"DESERCIÓN_SECUNDARIA",0.67693661971831
"DESERCIÓN_MEDIA",0.378698224852071
"APROBACIÓN",0.574568288854004
"APROBACIÓN_PRIMARIA",0.548540798094104
"APROBACIÓN_SECUNDARIA",0.617754223252732
"APROBACIÓN_MEDIA",0.693150684931507
"REPROBACIÓN",0.230718085106383
"REPROBACIÓN_PRIMARIA",0.328853754940711
"REPROBACIÓN_SECUNDARIA",0.161020493517357
"REPROBACIÓN_MEDIA",0.192
"REPITENCIA",0.732869910625621
"REPITENCIA_TRANSICIÓN",0.538775510204082
"REPITENCIA_PRIMARIA",0.713279678068411
"REPITENCIA_SECUNDARIA",0.794055201698514
"REPITENCIA_MEDIA",0.451127819548872
"POBLACIÓN_5_16",0.216385675273221
"TASA_MATRICULACIÓN_5_16",0.181841464976309
"COBERTURA_NETA",0.125494371767569
"COBERTURA_NETA_TRANSICIÓN",0.322702702702703
"COBERTURA_NETA_PRIMARIA",0.157630373762742
"COBERTURA_NETA_SECUNDARIA",0.283592259471246
"COBERTURA_NETA_MEDIA",0.43376130726583
"COBERTURA_BRUTA",0.112037843893938
"COBERTURA_BRUTA_TRANSICIÓN",0.202859428114377
"COBERTURA_BRUTA_PRIMARIA",0.137996820349762
"COBERTURA_BRUTA_SECUNDARIA",0.172955333469305
"COBERTURA_BRUTA_MEDIA",0.290604026845638
"DESERCIÓN",0.735258724428399
"DESERCIÓN_TRANSICIÓN",0.504201680672269
"DESERCIÓN_PRIMARIA",0.88034188034188
"DESERCIÓN_SECUNDARIA",0.602992957746479
"DESERCIÓN_MEDIA",0.538461538461539
"APROBACIÓN",0.275248560962847
"APROBACIÓN_PRIMARIA",0.521739130434782
"APROBACIÓN_SECUNDARIA",0.285193772772441
"APROBACIÓN_MEDIA",0.0942465753424657
"REPROBACIÓN",0.514627659574468
"REPROBACIÓN_PRIMARIA",0.146245059288538
"REPROBACIÓN_SECUNDARIA",0.616060225846926
"REPROBACIÓN_MEDIA",0.9584
"REPITENCIA",0.472691161866931
"REPITENCIA_TRANSICIÓN",0
"REPITENCIA_PRIMARIA",0.435613682092555
"REPITENCIA_SECUNDARIA",0.505307855626327
"REPITENCIA_MEDIA",0.389097744360902
"POBLACIÓN_5_16",0.228518137495767
