"Fila","Mahalanobis"
818,16.1256162131324
819,20.4494509513578
820,14.7869494929216
821,24.4523951301251
822,7.85183799333346
823,33.2200478591655
824,26.487962289129
825,59.222856766695
826,18.1322016893058
827,43.3017380418165
828,29.6334350790455
829,30.8411186856796
830,15.853480608487
831,34.1819867892008
832,13.4900899016646
833,80.383935384907
834,29.1182681377978
835,15.3796777069299
836,26.6150115110309
837,77.3934189147061
838,30.6367946918048
839,18.0392731302697
840,29.3562383541647
841,16.9286190392192
842,21.353299610663
843,38.5822540343174
844,14.3770333996803
845,19.2944670165117
846,21.048010461647
847,150.00917323292
848,21.972577872119
849,28.4763378793466
850,34.0470337130981
851,27.8484408738528
852,8.81942370413757
853,41.8886785960468
854,12.9659054865054
855,20.282166246523
856,39.8674786507885
857,16.7011946340431
858,33.0330533027299
859,49.2402362530992
860,21.2944858707462
861,38.4244432559071
862,25.2680250438897
863,14.7712316838686
864,19.3909424116777
865,28.138139182254
866,28.112369852505
867,73.3964770639316
868,46.5710110936083
869,25.3163080887097
870,32.8430143199443
871,21.4176982863956
872,15.3754735133579
873,36.135075282202
874,17.7792836917497
875,23.7221747967406
876,12.4991237201228
877,20.6749217037411
878,18.7191432815714
879,50.6824477365385
880,39.5851983515327
881,49.6991404211097
882,32.5320860650817
883,37.7948798785124
884,30.5515626837632
885,25.839581075252
886,20.0689579493342
887,32.6762500423913
888,31.3882261345279
889,70.073295044247
890,24.8845422678295
891,14.9667374860239
892,32.8164014880186
893,37.5503771674522
894,19.4725656542205
895,60.7794023623921
896,14.8050332661446
897,33.2662622985793
898,17.6179930242688
899,23.0613370526425
900,30.856248439571
901,19.0739044331912
902,27.7868330429951
903,23.0231385235676
904,30.6934365031483
905,23.6201525625315
906,41.8117409456754
907,33.2848227939722
908,28.3248068100007
909,24.442366276211
910,22.7392924674309
911,10.555861313673
912,32.4668407636089
913,20.7114771334482
914,17.2412039000551
915,55.3651122527084
916,23.1279323582505
917,36.4137742292624
918,39.6273725723394
